ThreadIndex,GroupId(X Y Z),ThreadId(X Y Z),DispatchThreadId(X Y Z),GroupID
44,<4 0 8>,<4 0 48>,<0 0 0>,9
45,<0 9 4>,<0 49 0>,<0 0 0>,5
46,<0 5 0>,<50 0 0>,<0 1 5>,0
47,<5 0 51>,<0 0 0>,<2 5 0>,2
48,<0 52 0>,<0 0 3>,<5 0 3>,5
49,<53 0 0>,<0 4 5>,<0 4 5>,0
50,<0 0 0>,<5 5 0>,<5 5 0>,55
51,<0 0 6>,<5 0 6>,<5 0 56>,0
52,<0 7 5>,<0 7 5>,<0 57 0>,0
53,<8 5 0>,<8 5 0>,<58 0 0>,0
54,<5 0 9>,<5 0 59>,<0 0 0>,0
55,<0 0 6>,<0 60 0>,<0 0 1>,6
56,<1 6 0>,<61 0 0>,<0 2 6>,0
57,<6 0 62>,<0 0 0>,<3 6 0>,3
58,<0 63 0>,<0 0 4>,<6 0 4>,6
59,<64 0 0>,<0 5 6>,<0 5 6>,0
60,<0 0 0>,<6 6 0>,<6 6 0>,66
61,<0 0 7>,<6 0 7>,<6 0 67>,0
62,<0 8 6>,<0 8 6>,<0 68 0>,0
63,<9 6 0>,<9 6 0>,<69 0 0>,0
64,<7 0 0>,<7 0 70>,<0 0 0>,1
65,<0 1 7>,<0 71 0>,<0 0 2>,7
66,<2 7 0>,<72 0 0>,<0 3 7>,0
67,<7 0 73>,<0 0 0>,<4 7 0>,4
68,<0 74 0>,<0 0 5>,<7 0 5>,7
69,<75 0 0>,<0 6 7>,<0 6 7>,0
70,<0 0 0>,<7 7 0>,<7 7 0>,77
71,<0 0 8>,<7 0 8>,<7 0 78>,0
72,<0 9 7>,<0 9 7>,<0 79 0>,0
73,<0 0 1>,<0 0 1>,<80 0 0>,0
74,<0 1 1>,<0 1 81>,<0 0 0>,2
75,<1 2 0>,<1 82 0>,<0 0 3>,0
76,<3 0 1>,<83 0 0>,<0 4 0>,1
77,<0 1 84>,<0 0 0>,<5 0 1>,5
78,<1 85 0>,<0 0 6>,<0 1 6>,0
79,<86 0 0>,<0 7 0>,<1 7 0>,1
80,<0 0 0>,<8 0 1>,<8 0 1>,88
81,<0 0 9>,<0 1 9>,<0 1 89>,0
82,<0 0 1>,<1 0 1>,<1 90 0>,0
83,<1 1 1>,<1 1 1>,<91 0 0>,0
84,<1 1 2>,<1 1 92>,<0 0 0>,3
85,<1 3 1>,<1 93 0>,<0 0 4>,1
86,<4 1 1>,<94 0 0>,<0 5 1>,1
87,<1 1 95>,<0 0 0>,<6 1 1>,6
88,<1 96 0>,<0 0 7>,<1 1 7>,1
89,<97 0 0>,<0 8 1>,<1 8 1>,1
90,<0 0 0>,<9 1 1>,<9 1 1>,99
91,<0 0 0>,<2 1 0>,<2 1 100>,0
92,<0 1 2>,<1 1 2>,<1 101 0>,0
93,<2 2 1>,<2 2 1>,<102 0 0>,0
94,<2 1 3>,<2 1 103>,<0 0 0>,4
95,<1 4 2>,<1 104 0>,<0 0 5>,2
96,<5 2 1>,<105 0 0>,<0 6 2>,1
97,<2 1 106>,<0 0 0>,<7 2 1>,7
98,<1 107 0>,<0 0 8>,<2 1 8>,2
99,<108 0 0>,<0 9 2>,<1 9 2>,1
100,<0 0 0>,<0 3 1>,<0 3 1>,110
101,<0 0 1>,<3 1 1>,<3 1 111>,0
